longitude,latitude,timestamp,Board,Alight,Numpass,Hour,Min,Sec,Day_of_week,stop_cluster,distance_from_cluster_0,distance_from_cluster_18,dist_change_cluster_0,dist_change_cluster_18,direction,QuarterHour,waiting_passengers
120.9869433,14.6570516,2023-07-18 05:58:32,0,0,0.0,5.0,58.0,32.0,1,14,0.06414444625057726,16.272279191635178,,,Northbound,10,6
120.9869433,14.6570516,2023-07-18 05:58:33,0,0,0.0,5.0,58.0,33.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,6
120.9869433,14.6570516,2023-07-18 05:58:34,0,0,0.0,5.0,58.0,34.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,6
120.9869433,14.6570516,2023-07-18 05:58:35,0,0,0.0,5.0,58.0,35.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,6
120.9869433,14.6570516,2023-07-18 05:58:36,1,0,1.0,5.0,58.0,36.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,5
120.9869433,14.6570516,2023-07-18 05:58:36,0,0,1.0,5.0,58.0,36.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,5
120.9869433,14.6570516,2023-07-18 05:58:37,1,0,3.0,5.0,58.0,37.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,4
120.9869433,14.6570516,2023-07-18 05:58:37,0,0,4.0,5.0,58.0,37.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,4
120.9869433,14.6570516,2023-07-18 05:58:38,0,0,5.0,5.0,58.0,38.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,4
120.9869433,14.6570516,2023-07-18 05:58:39,1,0,6.0,5.0,58.0,39.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,3
120.9869433,14.6570516,2023-07-18 05:58:39,0,0,6.0,5.0,58.0,39.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,3
120.9869433,14.6570516,2023-07-18 05:58:40,1,0,7.0,5.0,58.0,40.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,2
120.9869433,14.6570516,2023-07-18 05:58:40,0,0,7.0,5.0,58.0,40.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,2
120.9869433,14.6570516,2023-07-18 05:58:41,1,0,8.0,5.0,58.0,41.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,1
120.9869433,14.6570516,2023-07-18 05:58:41,0,0,9.0,5.0,58.0,41.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,1
120.9869433,14.6570516,2023-07-18 05:58:42,1,0,11.0,5.0,58.0,42.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,0
120.9869433,14.6570516,2023-07-18 05:58:42,0,0,11.0,5.0,58.0,42.0,1,14,0.06414444625057726,16.272279191635178,0.0,0.0,Northbound,10,0
120.9871733,14.6570616,2023-07-18 05:58:59,0,0,23.0,5.0,58.0,59.0,1,14,0.0404342012675634,16.272803088313857,-0.023710244983013863,0.0005238966786791366,Northbound,10,0
120.9872366,14.6570616,2023-07-18 05:59:00,0,0,23.0,5.0,59.0,0.0,1,14,0.03431779211419979,16.27264794044036,-0.00611640915336361,-0.00015514787349601988,Northbound,10,0
